
s: 0091018,	-1,	-1,	1,	0,	0x00FF00

s: 0101011,	3,	3,	3,	0,	0x00FF00
s: 0101012,	3,	1,	3,	0,	0x00FF00
s: 0101013,	3,	1,	1,	0,	0x00FF00
s: 0101014,	3,	3,	1,	0,	0x00FF00
s: 0101015,	1,	3,	3,	0,	0x00FF00
s: 0101016,	1,	1,	3,	0,	0x00FF00
s: 0101017,	1,	1,	1,	0,	0x00FF00
s: 0101018,	1,	3,	1,	0,	0x00FF00

s: 9191011,	-1,	-1,	3,	0,	0x00FF00
s: 9191012,	-1,	-3,	3,	0,	0x00FF00
s: 9191013,	-1,	-3,	1,	0,	0x00FF00
s: 9191014,	-1,	-1,	1,	0,	0x00FF00
s: 9191015,	-3,	-1,	3,	0,	0x00FF00
s: 9191016,	-3,	-3,	3,	0,	0x00FF00
s: 9191017,	-3,	-3,	1,	0,	0x00FF00
s: 9191018,	-3,	-1,	1,	0,	0x00FF00

s: 9101011,	-1,	3,	3,	0,	0x00FF00
s: 9101012,	-1,	1,	3,	0,	0x00FF00
s: 9101013,	-1,	1,	1,	0,	0x00FF00
s: 9101014,	-1,	3,	1,	0,	0x00FF00
s: 9101015,	-3,	3,	3,	0,	0x00FF00
s: 9101016,	-3,	1,	3,	0,	0x00FF00
s: 9101017,	-3,	1,	1,	0,	0x00FF00
s: 9101018,	-3,	3,	1,	0,	0x00FF00

s: 0191011,	3,	-1,	3,	0,	0x00FF00
s: 0191012,	3,	-3,	3,	0,	0x00FF00
s: 0191013,	3,	-3,	1,	0,	0x00FF00
s: 0191014,	3,	-1,	1,	0,	0x00FF00
s: 0191015,	1,	-1,	3,	0,	0x00FF00
s: 0191016,	1,	-3,	3,	0,	0x00FF00
s: 0191017,	1,	-3,	1,	0,	0x00FF00
s: 0191018,	1,	-1,	1,	0,	0x00FF00

s: 0000001,	1,	1,	1,	0,	0x00FF00
s: 0000002,	1,	-1,	1,	0,	0x00FF00
s: 0000003,	1,	-1,	-1,	0,	0x00FF00
s: 0000004,	1,	1,	-1,	0,	0x00FF00
s: 0000005,	-1,	1,	1,	0,	0x00FF00
s: 0000006,	-1,	-1,	1,	0,	0x00FF00
s: 0000007,	-1,	-1,	-1,	0,	0x00FF00
s: 0000008,	-1,	1,	-1,	0,	0x00FF00

s: 0100001,	3,	1,	1,	0,	0x00FF00
s: 0100002,	3,	-1,	1,	0,	0x00FF00
s: 0100003,	3,	-1,	-1,	0,	0x00FF00
s: 0100004,	3,	1,	-1,	0,	0x00FF00
s: 0100005,	1,	1,	1,	0,	0x00FF00
s: 0100006,	1,	-1,	1,	0,	0x00FF00
s: 0100007,	1,	-1,	-1,	0,	0x00FF00
s: 0100008,	1,	1,	-1,	0,	0x00FF00

