116. (F3, dS6, nS2)x3 - 31250498 k2:362
117. (F3, dS6, nS3)x3 - 498 k2:363
118. (F3, dS7, nS0)x3 - 968750098 k2:370
119. (F3, dS7, nS1)x3 - 187500098 k2:371
120. (F3, dS7, nS2)x3 - 31250098 k2:372
121. (F3, dS7, nS3)x3 - 98 k2:373
122. (F3, dS8, nS0)x3 - 968750018 k2:380
123. (F3, dS8, nS1)x3 - 187500018 k2:381
124. (F3, dS8, nS2)x3 - 31250018 k2:382
125. (F3, dS8, nS3)x3 - 18 k2:383
126. (F3, dS9, nS0)x3 - 968750002 k2:390
127. (F3, dS9, nS1)x3 - 187500002 k2:391
128. (F3, dS9, nS2)x3 - 31250002 k2:392
129. (F3, dS9, nS3)x3 - 2 k2:393
